;1 кв. 2006 г.;2 кв. 2006 г.;3 кв. 2006 г.;4 кв. 2006 г.;1 кв. 2007 г.;2 кв. 2007 г.;3 кв. 2007 г.;4 кв. 2007 г.;1 кв. 2008 г.;2 кв. 2008 г.;3 кв. 2008 г.;4 кв. 2008 г.;1 кв. 2009 г.;2 кв. 2009 г.;3 кв. 2009 г.;4 кв. 2009 г.;1 кв. 2010 г.;2 кв. 2010 г.;3 кв. 2010 г.;4 кв. 2010 г.;1 кв. 2011 г.;2 кв. 2011 г.;3 кв. 2011 г.;4 кв. 2011 г.;1 кв. 2012 г.;2 кв. 2012 г.;3 кв. 2012 г.;4 кв. 2012 г.;1 кв. 2013 г.;2 кв. 2013 г.;3 кв. 2013 г.;4 кв. 2013 г.;1 кв. 2014 г.;2 кв. 2014 г.;3 кв. 2014 г.;4 кв. 2014 г.;1 кв. 2015 г.;2 кв. 2015 г.;3 кв. 2015 г.;4 кв. 2015 г.;1 кв. 2016 г.;2 кв. 2016 г.;3 кв. 2016 г.;4 кв. 2016 г.;1 кв. 2017 г.;2 кв. 2017 г.;3 кв. 2017 г.;4 кв. 2017 г.;1 кв. 2018 г.;2 кв. 2018 г.;3 кв. 2018 г.;4 кв. 2018 г.;1 кв. 2019 г.;2 кв. 2019 г.;3 кв. 2019 г.;4 кв. 2019 г.;1 кв. 2020 г.;2 кв. 2020 г.;3 кв. 2020 г.;4 кв. 2020 г.;
Российская Федерация;119.57;129.76;140.92;147.66;143.88;135.29;126.54;123.40;116.41;118.01;117.10;110.25;105.16;97.32;91.85;92.42;95.57;97.07;100.40;100.33;104.12;105.51;106.40;106.73;109.21;110.55;111.41;110.68;108.78;107.19;106.09;104.77;105.08;106.14;105.40;105.71;105.01;102.48;101.43;99.68;97.98;98.36;99.36;99.62;99.89;100.46;100.47;101.03;102.36;103.43;105.33;106.26;106.96;107.16;107.90;107.96;106.71;108.34;109.37;112;
Центральный федеральный округ;120.85;135.88;150.68;155.21;142.65;127;117.86;119.87;111.49;115.34;117.17;111.56;111;101.57;93.61;93.66;98.32;98.52;102.62;100.82;104.18;105.19;105.92;105.67;108.25;109.83;109.71;108.86;107.69;106.15;106.77;106.65;106.54;108.73;107.52;107.46;105.87;101.77;101.59;100.65;98.58;98.93;100.17;99.96;100.03;102.07;100.93;101.08;101.97;103.63;106.21;106.31;107.03;106.90;107.81;108.45;106.47;106.88;109.19;111.37;
Белгородская область;116.09;128.14;148.33;160.63;165.53;155.07;130.58;125.27;117.71;117.21;117.19;114.90;111.71;105.29;99.64;95.80;94.96;97.63;99.28;99.30;100.81;101.55;101.57;104;106.71;108.46;113.36;112.58;113.73;112.95;107.30;105.56;103.84;103.78;102.08;102.57;101.29;98.57;98.77;95.69;95.06;98.48;104.15;103.84;102.54;101.39;99.56;99.83;101.40;101.50;100.73;102.01;100.30;102.87;103.28;103.37;101.66;102.40;104.21;106.83;
Брянская область;106.22;107.72;115.93;122.07;136.41;139.86;133.67;134.02;132.10;140.66;142.38;130.72;107.06;93.53;86.72;84.29;92.62;104.20;103.12;102.34;102.88;100.49;103.19;105.81;103.08;110.25;106.12;105.84;107.40;103.71;106.51;106.77;109.46;117.32;116.89;117.41;105.01;101.24;103.46;98.36;98.28;101.36;100.76;100.37;98.92;98.15;97.44;98.37;99.84;99.37;99.77;100.44;105.80;107.63;108.57;107.67;105.89;107.74;109.05;112.17;
Владимирская область;118.62;130.74;151.71;163.65;164.60;158.54;149.89;139.39;131.13;126.87;119.42;112.69;104.31;92.51;84.92;86.65;90.24;94.74;96.48;98.54;103.53;107.77;105.80;107.88;106.89;107.17;104.84;101.81;104.85;102.35;102.89;103.69;101.70;105.79;105.06;104.21;102.62;98.98;96.23;93.31;91.16;90.57;88.26;90.30;94;95.48;98.73;100.23;101.80;103;102.08;102.42;101.22;100.32;101.51;101.93;107.36;109.10;112.64;115.68;
Воронежская область;115.67;120.45;133.92;143.10;149.47;147.87;141.90;131.26;126.92;125.99;124.25;116.51;102.81;98.68;93.55;94.04;99.13;100.27;101.72;103.11;105.96;105.62;108.03;108.66;110.89;115.10;116.08;115.89;110.88;105.97;105.67;104.41;105.01;105.93;108.41;108.63;104.97;100.98;100.09;99.64;98.17;99.59;100.16;95.68;94.82;93.73;93.44;95.38;100.58;102.21;105.01;106.09;106.98;109.96;109.45;108.25;107.12;106.29;112.81;119.74;
Ивановская область;113;127.69;144.74;155.78;176.32;184.50;173.50;145.69;126.20;107.81;109.60;103.85;93.38;87.80;82.73;97.48;99.03;97.28;100.71;99.01;104.86;106.25;103.15;103.82;100.19;99.27;99.82;99.79;99.62;101.89;101.92;101.75;107.15;102.66;102.17;103.79;106.74;107.34;100.74;96.46;97.02;98.03;97.36;99.87;97.06;96.18;97.50;100.58;96.73;99.22;98.56;100.63;101.60;100.56;103.60;104.31;103.98;106.07;107.11;106.66;
Калужская область;135.89;137.35;143.55;145.75;145.71;137.66;133.36;135.28;140.45;160.69;161.38;149.24;113.31;91.31;87.35;84.09;92.60;96.84;98.02;99.62;95.63;99.88;100.77;107.47;109.52;108.92;104.66;102.96;103.36;102.26;104.64;104.68;99.04;98.47;96.84;101.18;101.69;102.63;102.81;99.04;100.51;97.46;97.98;99.75;101.96;103.99;103.13;101.78;99.28;100.31;99.91;105.13;106.72;103.95;102.44;101.40;102.84;109.13;114.06;115.98;
Костромская область;127.07;122.32;142.55;181.94;173.54;166.11;168.67;121.81;126.27;123.06;102.62;92.42;82.28;82.01;81.84;90.56;90.72;89.09;92.26;93.76;97.12;101.05;101.38;97.41;106.38;104.47;109.62;105.81;105.68;106.62;105.62;103.89;100.06;107.19;101.91;105.86;112.18;105.62;102.79;103.70;93.22;89.16;96.75;98.11;99.33;98.25;96.77;95.47;95.64;102.20;102.12;104.01;104.37;100.92;100.48;100.95;105.69;111.09;111.76;115.84;
Курская область;111.58;110.72;115.58;129.30;146.95;154.63;158.03;138.26;128.50;122.88;116.45;112.29;106.22;94.35;86.77;85.86;90.05;96.76;99.78;99.99;101.32;106.42;107.18;108.26;113.96;107.97;108.35;108.80;107.25;107.04;106.85;111.23;109.07;119.45;120.96;113.80;110.68;102.75;94.64;90.16;87.82;87.96;93.06;95.65;102.12;101.42;100.24;101.80;98.64;101.01;104.25;107.16;109.97;109.68;109.94;105.88;103.04;107.17;112.43;117.86;
Липецкая область;119.63;120.02;121.64;130.23;134.40;146.62;160.22;160.84;160.92;154.30;145.36;122.40;88.62;78.88;73.24;80.46;91.96;100.97;104.56;107.54;103.80;103.60;106.96;106.21;109.98;113.25;113.83;111.67;106.76;108.58;103.73;102.28;100.88;95.85;96.02;96.58;104.39;105.32;104.96;99.18;95.43;94.70;94.20;92.85;95.65;97.03;97.92;105.17;103.84;104.92;106.57;108.42;109.54;107.46;108.43;109.63;102.58;111.08;110.15;111.59;
Московская область;124.75;149.46;161.54;168.60;143.36;127.83;118.77;129.31;113.29;118.21;118.87;116.15;113.88;105.22;96.48;94.98;99.04;96.31;100.91;100.26;99.82;106.71;105.71;107.93;107.21;111.64;113.79;109.58;105.71;103.04;101.97;103.25;103.94;112.18;111.07;108.73;107.20;99.18;101.47;101.46;97.43;99.54;100.14;102.20;104.22;104.60;105.89;106.17;104.81;106.84;107.68;107.69;108.37;104.79;109.55;98.95;101.55;112.07;108.96;114.61;
Орловская область;113.53;114.95;116.75;122.24;129.01;134.16;134.96;137.90;135.03;132.75;131.49;125.62;109.52;99.93;95.18;92.99;93.11;95.63;95.88;98.48;102.03;102.89;107.91;105.88;107.78;111.51;111.53;118.11;118.44;111.71;109.90;103.37;102.91;103.44;103.17;101.95;102.19;99.19;97.91;100.72;98.96;97.59;97.39;94.29;92.57;97.52;100.85;105.16;105.60;104.97;103.52;104.03;107.55;108.18;108.96;107.18;107.43;111.58;115.77;123.93;
Рязанская область;121.16;130.71;140.15;152.11;171.24;163.81;148.56;136.66;125.62;124.17;123.18;117.29;102.57;93.65;87.15;85.34;90.57;95.39;102.82;107.84;103.29;102.12;103.40;100.08;108.30;104.95;102.69;104.15;102.75;104.24;102.44;104.13;107.30;110.96;109.45;106.63;108.08;98.84;98.25;96.88;92.19;98.80;95.94;96.44;100.79;101.12;104.82;106.36;104.45;104.78;106.75;107.94;106.09;105.86;106.93;106.32;111.03;114.56;119.79;123.43;
Смоленская область;138.66;136.54;134.47;141.69;159.80;156.66;150.38;135.33;127.14;127.29;131.57;122.53;103.39;93.87;84.60;85.88;97.31;98.25;104.62;105.25;107.66;108.72;111.33;113.15;116.46;115.16;109.79;108.90;111.20;108.22;104.98;103.75;101.78;102.51;102.30;101.67;101.63;99.80;95.98;94.30;93.26;95.49;98.11;99.31;99.01;99.35;99.93;99.92;102.56;102.77;101.66;101.08;104.22;103.45;101.88;101.60;102.70;103.58;107.36;110.95;
Тамбовская область;115.53;117.74;129.83;134.63;137.88;142.20;137.15;132.47;130.79;130.06;124.57;121.36;108.63;93.60;90.55;85.90;90.22;99.94;99.49;103.32;101.56;101.59;104.32;104.82;112.54;115.56;114.03;120.44;121.19;117.86;112.20;109.31;110.93;111.47;110.05;109.56;106.83;105.70;104.71;99.34;99.68;93.30;94.02;98.01;99.52;100.16;97.55;94.25;99.85;100.74;102.64;104.51;105.60;106.23;105.98;105.46;102.27;104.56;107.96;110.22;
Тверская область;121.73;135.34;148.45;151.11;136.65;123.03;115.35;128.51;153.28;174.10;166.52;126.87;103.19;74.38;72.48;81.96;92.37;113.54;107.03;108.95;102.77;99.98;102.67;100.30;104.03;103.71;106.59;107.22;101.86;103.82;100.81;99.10;101.06;105.78;105.56;104.36;106.60;97.45;98.98;99.66;97.81;95.09;94.18;92.32;92.98;96.87;97.06;97.61;101.55;101.01;101.01;99.93;101.66;103.50;104.41;104.73;103.05;103.69;103.87;108.23;
Тульская область;112.77;111.04;112.82;0;131.27;134.73;133.28;126.08;125.94;126.45;121.51;114.69;105.57;103.24;98.23;101.04;99.84;100.03;94.17;92.93;103.69;103.49;107.66;108.45;105.42;101.75;101.20;101.60;97.90;101.21;104.18;100.85;109.07;114.53;112.75;114.24;105.67;101.60;99.83;96.21;101.90;93.03;92.73;90.58;94.35;100.29;98.99;99.17;103.47;104.84;106.25;109.95;111.20;104.84;106.87;106.91;110.02;114.56;118.74;125.02;
